	1320
0	1
000	524
006	1
050	2
06	1
066	1
072	1
074	1
0the	1
1	90
10	24
100	18
1000	7
101	2
1015	1
102	1
1020	1
103	1
105	2
106	1
107	2
1075	1
108	3
109	2
10s	1
10th	1
10½	1
11	6
110	3
1100	1
111	2
112	1
113	2
114	1
115	4
116	3
118	1
119	1
12	17
120	7
1200	3
121	2
122	1
123	1
124	2
125	3
1254	1
127	1
129	2
12th	1
13	12
130	1
1300	1
131	1
132	1
133	2
134	5
135	2
1363	1
137	1
1373	1
13th	1
14	16
140	3
1400	1
141	1
1439	1
1444	1
145	1
146	1
148	1
1493	1
15	20
150	10
1500	7
1519	2
152	2
1520	1
1524	3
1526	1
1529	1
153	1
1532	2
1534	4
1535	3
1536	1
1539	1
1540	2
1541	1
1542	2
1543	1
1544	1
1545	1
1547	1
1548	2
1549	1
1550	1
1551	1
1552	2
1553	1
1554	1
1555	1
1557	2
1558	2
156	1
1560	1
1561	1
1562	1
1564	1
1567	2
1569	2
1571	1
1572	2
1574	1
1575	1
1577	1
1578	3
1579	7
1580	1
1581	1
1582	1
1583	2
1584	2
1585	1
1586	7
1587	1
1589	1
1590	1
1592	2
1593	1
1594	2
1598	2
16	10
160	2
1600	4
1609	1
1610	1
1612	1
1613	1
1615	2
1616	1
1618	1
1620	1
1623	2
1624	1
1628	1
163	2
1639	1
164	1
1640	1
1641	1
1642	2
1644	1
1645	1
1647	2
1650	1
1654	1
166	1
1669	2
167	1
1670	3
1671	1
1680	2
1686	2
169	1
17	11
170	5
1700	3
1703	1
1705	2
1709	2
171	1
1713	1
1719	1
172	1
1720	3
1721	1
1722	1
1723	1
173	2
1735	3
1736	1
1739	1
174	2
1740	3
1741	4
1743	5
1744	3
1745	4
1746	2
1748	1
175	2
1752	1
1759	1
176	1
1769	1
1770	1
1772	1
1774	2
1776	2
1778	3
178	1
1785	1
1786	1
1788	2
1793	2
1797	1
18	8
1800	2
1801	2
1802	1
1804	1
1807	1
1808	1
1810	3
1811	7
1812	1
1813	1
1814	4
1815	1
1817	1
1818	6
1819	2
182	1
1820	5
1821	3
1822	8
1823	2
1824	1
1825	1
1826	1
183	1
1830	2
1831	1
1836	1
